ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.90,2.96,6.92,8.94,12.69,15.16,15.99,20.83,25.57,33.30,17.82
2014 Primary Runoff,0.96,0.83,1.87,1.36,2.81,3.32,5.27,7.04,10.68,16.32,7.00
2014 General,10.45,11.12,16.53,24.90,25.47,33.33,34.73,42.01,48.83,54.16,34.47
2016 Presidential Primary,16.46,11.34,18.65,23.03,25.83,29.98,32.31,37.87,43.86,44.11,31.47
2016 Primary,9.42,7.15,11.63,16.07,19.27,24.15,25.20,31.74,35.81,42.29,26.12
2016 Primary Runoff,1.25,0.85,1.99,2.01,3.39,5.50,6.54,11.39,12.32,16.64,8.24
2016 General,44.63,35.52,45.67,55.73,57.54,61.46,64.17,69.51,72.07,71.26,60.27
2018 Primary,6.96,3.94,7.81,11.15,11.17,16.05,18.57,20.77,27.33,33.14,19.01
2018 Primary Runoff,4.19,3.26,3.92,6.46,8.50,11.08,12.30,16.61,22.80,27.46,14.75
2018 General,31.84,29.52,38.30,43.27,49.87,54.81,58.05,61.87,67.77,67.65,53.33
