ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,1.88,2.83,2.01,4.07,7.62,9.07,10.43,13.04,20.50,22.41,12.01
2014 Primary Runoff,1.47,2.47,0.34,1.46,3.08,2.66,5.89,8.38,10.54,14.85,7.05
2014 General,20.62,21.15,27.34,39.48,44.17,46.11,52.07,60.23,63.29,62.96,48.36
2016 Presidential Primary,17.08,18.47,19.55,24.91,32.45,32.63,42.05,42.52,48.54,49.24,36.99
2016 Primary,15.05,13.75,12.00,19.42,24.34,26.65,31.05,35.66,40.54,44.16,30.58
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.24,45.87,54.86,63.57,65.81,70.81,75.37,78.34,84.93,78.13,70.06
2018 Primary,5.26,3.95,5.28,9.09,12.90,14.37,19.31,22.53,30.84,32.58,19.92
2018 Primary Runoff,1.83,1.99,1.75,2.24,3.26,5.41,8.47,8.39,12.38,22.00,10.16
2018 General,39.01,40.06,42.96,55.60,57.35,65.82,73.56,72.78,77.23,75.16,64.34
