ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.17,2.86,7.70,8.20,10.47,15.77,19.91,24.67,36.68,41.05,19.95
2014 Primary Runoff,4.20,2.61,5.43,7.34,7.57,14.32,17.17,21.31,31.54,39.22,17.80
2014 General,17.58,17.83,30.90,37.41,40.78,46.09,51.90,57.55,66.27,66.69,45.87
2016 Presidential Primary,13.97,12.60,21.50,26.91,30.12,36.13,42.03,43.93,53.21,54.36,36.21
2016 Primary,12.13,10.61,17.29,23.42,24.08,28.38,30.56,34.17,43.22,47.11,29.55
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.23,42.24,56.84,62.61,65.45,69.88,71.52,75.16,78.34,77.72,65.87
2018 Primary,4.08,3.25,4.98,7.56,8.71,12.89,15.55,19.28,26.56,34.42,16.20
2018 Primary Runoff,3.78,1.90,3.59,6.46,7.83,11.60,16.53,18.00,22.51,31.83,14.86
2018 General,31.36,35.30,41.64,51.39,53.88,59.36,62.67,65.09,70.25,74.37,56.50
