ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.02,4.02,5.95,9.26,11.01,13.78,18.47,22.94,27.90,34.62,17.05
2014 Primary Runoff,2.41,2.41,3.51,5.31,7.09,8.28,11.66,16.05,19.85,26.11,11.86
2014 General,11.68,12.93,18.97,24.10,31.22,34.26,41.62,49.71,56.04,58.10,36.00
2016 Presidential Primary,18.08,15.38,20.47,25.53,28.94,32.61,38.15,42.42,48.87,50.04,33.82
2016 Primary,7.38,5.44,10.42,15.94,18.50,19.34,23.01,26.72,33.50,39.07,21.74
2016 Primary Runoff,1.10,0.71,1.34,2.15,3.69,3.98,5.16,6.27,8.10,10.50,4.95
2016 General,48.14,41.46,50.11,57.13,62.87,65.66,68.77,72.63,74.86,73.81,62.31
2018 Primary,4.54,3.82,5.68,6.38,7.78,9.46,11.09,14.36,20.35,25.58,12.48
2018 Primary Runoff,1.65,1.30,2.09,3.10,4.69,6.41,7.65,10.27,14.56,20.83,8.79
2018 General,36.36,32.81,40.77,48.03,52.74,58.78,61.07,65.99,70.06,70.79,54.87
