ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,11.13,11.93,14.92,17.94,20.98,25.10,28.42,37.30,41.65,45.41,28.88
2014 Primary Runoff,2.10,1.33,1.82,3.71,5.26,5.10,6.06,11.14,14.59,17.36,8.57
2014 General,24.61,26.86,32.06,36.15,43.06,48.38,49.30,57.61,64.07,65.12,48.33
2016 Presidential Primary,14.50,14.76,17.40,23.17,28.50,32.31,31.72,38.65,49.92,46.75,33.06
2016 Primary,15.41,18.65,22.43,26.52,34.35,35.09,38.77,40.35,48.19,53.18,36.87
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,47.71,47.25,52.37,60.64,61.03,65.73,68.40,70.01,76.66,74.92,65.01
2018 Primary,10.71,7.69,10.28,14.56,18.28,24.60,28.40,28.96,39.65,42.29,26.56
2018 Primary Runoff,6.59,3.56,4.77,8.78,11.41,18.78,18.96,22.78,31.11,36.67,20.49
2018 General,39.31,37.96,49.55,53.85,56.67,67.71,66.67,67.96,73.10,74.17,61.87
