ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,11.74,12.90,11.01,14.78,15.62,24.91,24.19,26.21,34.75,30.75,22.94
2014 Primary Runoff,3.91,1.40,1.31,1.49,2.11,6.50,6.57,5.78,9.47,12.15,6.52
2014 General,16.10,18.75,27.27,31.28,38.02,44.19,46.29,51.01,60.35,53.19,41.98
2016 Presidential Primary,11.81,15.07,19.56,19.82,20.20,26.50,33.66,33.57,44.85,40.24,29.77
2016 Primary,30.55,29.13,33.33,30.00,42.44,48.74,53.11,54.97,64.21,61.76,48.48
2016 Primary Runoff,0.00,0.00,0.00,0.43,0.48,0.42,1.28,0.66,1.35,1.03,0.68
2016 General,46.56,54.13,54.88,53.47,63.38,72.84,68.48,75.00,81.31,71.48,65.63
2018 Primary,3.52,5.81,7.69,10.64,15.31,17.54,19.54,22.22,27.97,30.09,19.00
2018 Primary Runoff,0.80,4.60,1.36,3.86,2.62,5.74,6.64,9.76,13.46,14.70,8.20
2018 General,34.24,40.91,40.17,49.12,49.49,57.34,65.05,66.33,72.29,68.33,57.67
