ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.66,4.81,5.31,7.49,9.41,10.64,16.04,19.31,22.75,27.41,15.85
2014 Primary Runoff,2.60,1.03,3.42,3.07,3.02,6.58,7.40,9.43,15.69,18.83,9.54
2014 General,18.65,20.15,25.00,30.03,43.42,47.78,48.19,53.21,55.79,60.49,44.66
2016 Presidential Primary,10.98,11.34,13.66,20.00,21.56,26.18,32.08,32.05,34.19,31.67,25.41
2016 Primary,18.25,18.06,22.72,27.69,33.33,34.59,43.65,46.93,47.78,52.77,38.51
2016 Primary Runoff,15.75,15.70,18.30,20.74,24.94,30.82,39.68,38.91,42.07,45.88,33.02
2016 General,47.69,41.43,47.46,54.59,59.90,64.85,72.75,72.25,74.95,74.31,64.01
2018 Primary,5.41,3.12,2.74,6.68,9.20,7.73,13.09,21.81,21.25,27.47,15.22
2018 Primary Runoff,3.26,3.35,4.99,5.67,6.92,9.73,12.45,18.42,18.86,23.48,13.51
2018 General,42.50,37.92,49.38,52.93,57.61,64.05,71.85,73.78,75.93,74.55,63.29
