ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.20,3.10,4.85,5.46,7.76,8.76,11.65,17.79,20.56,24.73,13.06
2014 Primary Runoff,0.81,0.90,1.32,1.85,2.65,3.28,5.53,8.68,10.86,17.27,7.25
2014 General,16.48,20.25,28.05,35.44,39.85,46.10,50.38,56.00,61.86,59.10,44.47
2016 Presidential Primary,14.96,14.97,19.55,26.47,27.01,36.23,37.64,41.48,49.10,47.44,34.50
2016 Primary,11.31,9.42,14.69,20.19,24.26,29.01,35.75,38.10,48.24,47.80,31.53
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,48.39,46.88,49.57,60.89,61.13,65.73,69.69,72.02,75.36,72.97,64.18
2018 Primary,6.72,5.62,8.34,10.95,16.90,20.24,22.67,29.32,35.04,38.23,22.87
2018 Primary Runoff,2.93,1.65,2.28,3.65,5.70,8.01,8.88,12.28,17.59,21.87,10.96
2018 General,37.39,40.76,46.95,55.10,58.69,64.10,68.67,71.15,74.87,75.72,62.22
