ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,1.91,1.26,2.96,3.50,4.89,8.16,9.18,12.08,14.58,21.11,9.49
2014 Primary Runoff,0.71,0.41,0.98,0.98,1.87,3.11,4.28,5.18,7.02,12.02,4.66
2014 General,11.24,12.11,19.70,25.35,29.89,37.00,41.50,44.71,51.70,55.06,35.47
2016 Presidential Primary,15.20,15.07,20.83,26.03,28.21,32.08,36.48,38.78,43.32,43.65,31.62
2016 Primary,3.56,2.71,4.60,7.11,8.96,11.64,14.09,17.31,19.60,27.50,13.67
2016 Primary Runoff,2.18,1.36,2.13,3.70,4.93,7.81,8.42,11.24,14.20,20.01,9.17
2016 General,43.04,38.30,49.40,56.60,61.10,65.45,67.05,70.44,73.83,69.97,60.69
2018 Primary,3.50,2.86,4.09,6.32,8.07,10.05,12.15,13.52,18.31,22.46,11.80
2018 Primary Runoff,1.36,0.97,1.38,2.25,3.23,4.96,6.99,7.38,11.06,15.62,6.93
2018 General,29.36,29.52,40.66,46.19,52.45,56.76,61.76,64.32,68.61,67.88,53.69
