ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.74,5.89,9.18,14.49,16.54,15.77,20.46,23.82,29.89,35.13,20.40
2014 Primary Runoff,0.92,1.20,0.75,1.89,1.58,2.75,4.38,6.47,9.34,12.96,5.64
2014 General,11.82,16.02,24.93,28.00,33.33,38.48,47.52,48.51,56.14,55.94,39.32
2016 Presidential Primary,12.20,12.92,19.85,20.93,23.14,26.78,32.68,34.60,41.75,42.97,29.61
2016 Primary,3.83,2.68,5.04,6.28,9.07,9.16,11.70,12.89,18.47,22.13,12.17
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.43,38.44,50.57,52.54,60.55,64.89,69.40,71.34,70.14,69.70,60.95
2018 Primary,3.37,4.09,7.28,8.15,10.08,12.49,14.26,18.67,20.29,25.63,14.87
2018 Primary Runoff,2.22,2.29,4.59,5.43,6.48,7.46,8.38,14.43,17.66,22.01,11.54
2018 General,30.99,34.36,43.70,49.20,55.24,59.47,63.41,68.56,69.07,69.12,56.83
