ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,11.31,10.98,12.83,15.89,17.51,29.49,33.05,31.42,38.71,48.24,29.76
2014 Primary Runoff,2.41,3.66,3.16,5.31,5.20,10.70,12.41,16.99,21.75,28.13,14.52
2014 General,23.42,22.86,26.46,33.78,40.05,47.66,52.68,54.08,62.25,65.31,47.77
2016 Presidential Primary,21.89,22.47,20.51,29.03,28.97,35.27,44.22,44.83,51.23,55.55,40.07
2016 Primary,15.94,17.70,16.33,24.05,26.00,31.53,38.95,36.95,46.65,51.05,35.26
2016 Primary Runoff,1.64,0.66,0.51,0.30,2.78,5.45,6.39,7.63,9.66,13.64,6.90
2016 General,58.05,53.15,49.75,60.06,62.56,67.44,75.09,76.99,80.17,79.47,69.76
2018 Primary,19.57,19.32,25.68,29.86,33.25,32.25,41.18,38.40,43.38,48.14,36.53
2018 Primary Runoff,6.79,4.72,4.71,6.20,8.65,12.74,17.24,18.65,25.52,30.25,17.60
2018 General,45.61,44.73,48.33,51.28,58.29,64.07,70.28,72.87,76.99,80.13,65.84
