ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.73,3.24,5.95,6.50,10.10,10.69,15.86,22.16,28.86,32.05,16.47
2014 Primary Runoff,1.88,1.99,3.04,4.58,7.98,8.10,9.50,14.12,18.11,23.60,11.36
2014 General,20.67,24.32,32.39,40.27,50.29,52.39,57.44,65.88,68.63,65.11,50.37
2016 Presidential Primary,15.37,13.77,24.19,28.80,33.10,36.39,37.77,42.83,49.17,46.29,35.05
2016 Primary,20.19,15.85,24.18,36.10,37.78,42.48,43.31,50.63,56.32,54.19,40.77
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.51,47.01,53.00,64.04,66.39,71.60,71.55,74.81,79.08,75.58,66.46
2018 Primary,7.40,9.19,12.24,16.24,20.81,27.07,30.21,36.97,40.31,45.42,28.50
2018 Primary Runoff,3.20,2.15,3.17,4.45,5.91,8.92,11.49,11.42,14.22,18.65,10.30
2018 General,39.05,42.21,51.93,60.28,64.37,72.36,72.02,74.50,78.02,75.26,65.16
