ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.24,7.12,8.57,15.94,18.17,19.71,20.68,23.71,30.14,37.33,22.82
2014 Primary Runoff,1.97,1.83,1.83,4.47,6.19,8.10,10.97,14.19,19.53,29.58,14.07
2014 General,15.71,18.74,23.13,29.78,37.04,45.04,48.05,55.73,65.71,68.18,47.41
2016 Presidential Primary,20.45,18.19,21.05,28.03,32.84,35.85,41.76,45.70,50.63,54.56,39.88
2016 Primary,7.70,8.33,10.09,14.63,19.28,21.07,21.84,21.15,25.07,32.61,21.58
2016 Primary Runoff,3.00,2.97,3.59,6.87,8.93,9.03,8.64,7.21,8.23,11.22,7.98
2016 General,50.90,45.66,54.59,61.13,64.82,70.09,71.61,75.26,76.83,77.47,68.13
2018 Primary,7.38,6.60,9.70,15.16,18.44,20.65,22.28,24.15,27.37,38.02,23.23
2018 Primary Runoff,4.15,3.41,4.09,5.80,9.59,14.56,18.77,22.31,22.80,31.67,18.00
2018 General,31.16,34.18,42.91,47.46,54.87,60.40,66.53,66.76,72.01,73.14,59.25
