ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.68,6.76,13.08,14.97,21.36,20.57,23.94,26.04,32.36,36.31,22.04
2014 Primary Runoff,1.78,1.55,2.68,4.79,6.74,6.53,7.81,11.00,16.38,21.40,9.70
2014 General,8.35,12.11,18.51,21.67,31.41,33.04,33.59,38.35,47.01,49.33,31.88
2016 Presidential Primary,9.64,11.25,19.40,21.01,26.23,28.28,28.66,34.37,36.54,39.19,27.46
2016 Primary,16.80,17.19,24.27,31.32,35.34,38.08,39.43,39.70,42.79,48.13,35.46
2016 Primary Runoff,11.63,12.84,18.83,23.38,27.89,32.83,32.04,33.08,36.59,41.72,29.28
2016 General,42.37,41.39,52.78,58.29,61.41,63.55,68.10,69.21,72.40,71.56,61.62
2018 Primary,3.56,4.26,8.39,9.75,11.30,14.27,17.21,17.12,23.43,28.96,15.67
2018 Primary Runoff,1.45,1.86,3.49,3.59,5.65,8.76,10.34,12.02,15.26,18.75,9.52
2018 General,29.95,34.08,41.41,47.28,53.61,58.04,60.08,60.59,62.77,67.15,53.25
