ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.66,5.42,9.27,14.23,19.53,23.95,28.83,34.01,41.19,45.50,23.51
2014 Primary Runoff,2.55,2.10,3.60,6.28,9.65,11.97,14.79,19.14,25.47,30.69,13.52
2014 General,13.76,16.14,22.36,28.72,36.13,41.03,47.58,53.79,60.45,63.53,38.82
2016 Presidential Primary,12.12,12.39,15.60,17.93,23.06,25.88,30.78,36.34,42.69,46.55,27.40
2016 Primary,5.27,4.12,7.03,9.60,15.63,18.63,22.63,27.57,34.80,40.45,19.74
2016 Primary Runoff,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.08,0.03,0.01
2016 General,40.17,38.02,41.64,47.47,54.58,59.04,63.59,68.10,72.11,72.31,55.90
2018 Primary,5.95,5.59,9.15,13.14,16.72,21.41,26.70,31.61,38.17,44.72,22.59
2018 Primary Runoff,1.03,0.77,1.46,2.24,3.00,4.57,5.50,8.00,10.98,18.73,6.72
2018 General,29.29,30.98,36.76,43.67,51.19,56.98,60.91,65.30,69.77,71.90,51.90
