ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.42,5.70,6.88,9.56,10.68,17.77,17.56,23.30,31.66,42.12,21.03
2014 Primary Runoff,3.63,3.37,6.47,7.27,8.43,14.70,17.42,20.78,29.32,40.23,19.31
2014 General,19.61,24.66,30.64,40.87,48.41,53.94,56.87,61.18,67.46,72.78,52.24
2016 Presidential Primary,21.07,21.77,28.70,30.52,40.34,41.17,44.62,48.71,57.25,60.18,43.48
2016 Primary,6.73,4.79,7.91,13.08,18.09,18.17,18.96,20.46,25.75,35.51,20.26
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,55.11,53.28,64.33,70.17,74.67,78.63,81.21,80.57,82.49,84.31,74.79
2018 Primary,6.31,5.80,8.31,11.09,14.27,17.72,21.28,22.87,31.10,42.73,22.42
2018 Primary Runoff,4.08,2.97,7.89,8.14,9.88,13.12,16.43,18.88,23.21,34.24,17.48
2018 General,43.70,45.04,58.23,63.93,71.69,74.83,76.13,79.91,81.49,83.08,70.45
