ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.71,2.82,3.68,6.26,7.21,7.06,10.36,15.34,19.36,24.78,11.95
2014 Primary Runoff,1.19,1.53,1.75,1.46,3.25,3.93,5.69,10.57,14.76,18.56,8.00
2014 General,16.63,18.43,25.18,29.26,39.78,40.73,46.52,54.89,63.10,62.69,42.83
2016 Presidential Primary,14.19,11.20,15.97,18.98,26.26,27.36,30.67,36.45,43.38,45.01,29.77
2016 Primary,7.00,5.27,7.45,9.55,11.82,15.10,16.49,21.61,26.19,28.52,17.10
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.14,41.46,46.84,54.76,60.12,66.04,66.31,68.11,74.24,73.49,61.64
2018 Primary,6.06,5.93,9.85,14.56,13.16,19.60,20.20,27.62,32.28,35.96,21.53
2018 Primary Runoff,1.90,1.84,2.65,6.00,5.37,7.02,8.10,12.32,14.43,21.26,10.37
2018 General,34.18,38.61,44.09,50.54,55.07,66.21,63.77,65.19,72.20,75.68,59.62
