ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.42,5.84,8.41,11.93,17.38,21.65,25.79,31.31,40.26,45.22,23.43
2014 Primary Runoff,1.32,1.08,1.79,2.33,3.88,5.45,8.17,10.22,15.30,24.30,9.17
2014 General,17.49,21.45,30.20,38.01,44.18,49.32,55.57,58.73,66.23,65.50,46.10
2016 Presidential Primary,14.22,14.31,18.97,23.64,28.93,32.99,37.39,42.22,48.02,49.38,32.76
2016 Primary,7.60,5.91,9.48,13.71,18.49,23.19,28.11,33.52,41.24,46.97,25.32
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.19,42.39,49.77,57.84,62.31,66.51,70.37,73.53,76.07,73.93,62.24
2018 Primary,6.04,5.50,8.93,13.32,16.08,18.87,22.45,27.73,34.05,39.05,20.84
2018 Primary Runoff,2.58,2.22,3.74,5.44,7.88,10.70,13.76,18.66,23.29,30.73,13.77
2018 General,34.11,37.48,44.06,52.50,56.43,60.90,64.85,68.20,72.32,72.72,56.86
