ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.83,4.10,7.08,11.01,13.62,16.40,20.92,25.94,31.85,33.31,19.27
2014 Primary Runoff,0.83,1.11,0.94,2.63,3.24,4.13,3.47,8.86,12.46,13.57,6.44
2014 General,19.77,20.47,26.62,31.50,43.60,49.08,54.14,54.50,61.11,57.72,44.43
2016 Presidential Primary,10.11,9.51,13.42,16.30,23.75,23.14,31.79,34.49,40.53,39.82,27.01
2016 Primary,15.60,14.64,19.15,21.38,30.77,33.20,39.16,45.08,50.90,48.74,34.87
2016 Primary Runoff,9.03,9.71,11.68,14.43,20.32,23.39,25.50,29.35,36.60,37.72,24.53
2016 General,39.15,38.26,45.09,53.02,60.32,63.13,68.39,68.01,75.38,69.55,59.94
2018 Primary,4.94,4.79,7.92,9.11,13.36,15.95,21.25,25.99,29.06,32.99,19.55
2018 Primary Runoff,0.33,1.08,2.77,1.90,4.78,6.55,7.25,10.56,15.86,18.70,9.13
2018 General,31.91,39.55,44.06,54.62,60.70,65.95,66.28,70.95,75.53,73.81,60.57
