ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.03,6.58,10.39,13.86,17.48,19.17,22.59,26.71,31.38,39.32,21.92
2014 Primary Runoff,2.44,3.31,4.48,6.76,8.91,12.53,14.91,20.64,25.04,32.19,15.75
2014 General,11.46,14.02,20.30,23.48,33.15,36.10,44.85,48.43,56.50,60.90,38.60
2016 Presidential Primary,15.71,14.39,19.93,23.51,27.44,34.09,39.82,41.87,48.38,50.17,34.40
2016 Primary,7.74,6.74,11.56,15.38,19.01,22.97,23.49,25.71,30.53,37.24,22.58
2016 Primary Runoff,1.52,1.41,1.75,2.47,3.11,5.35,5.26,6.91,7.97,12.80,6.06
2016 General,47.02,43.26,50.60,57.47,61.66,67.24,69.15,69.70,74.77,74.10,63.28
2018 Primary,4.10,2.18,5.35,7.65,9.79,10.37,13.75,18.02,25.61,30.79,15.51
2018 Primary Runoff,1.91,1.61,2.16,3.97,5.56,7.96,11.68,14.75,20.55,24.97,11.97
2018 General,34.42,34.79,43.05,50.18,53.96,59.35,62.43,67.86,71.66,71.99,57.46
