ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.35,2.52,3.70,5.20,6.76,10.29,11.97,16.53,22.80,24.16,12.31
2014 Primary Runoff,1.79,1.67,2.92,3.70,3.94,7.23,8.70,13.09,17.74,20.27,9.66
2014 General,15.31,17.59,24.78,30.67,37.85,42.42,46.33,53.29,57.13,56.63,40.45
2016 Presidential Primary,12.02,11.28,18.12,22.67,24.39,31.55,35.35,37.48,45.38,42.83,30.12
2016 Primary,9.54,7.70,12.46,14.62,19.68,24.22,26.12,32.10,35.06,35.70,23.66
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,39.43,36.89,49.41,54.67,59.31,63.08,68.31,70.76,74.05,70.25,60.10
2018 Primary,3.74,3.52,7.16,8.90,11.11,15.56,19.03,22.63,29.61,32.74,17.97
2018 Primary Runoff,1.79,2.43,3.18,4.48,3.76,8.54,9.37,13.78,17.46,24.38,11.35
2018 General,27.70,34.49,43.58,49.75,55.12,61.11,63.64,66.83,69.54,69.88,56.06
