ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.43,5.53,8.17,12.16,14.41,15.62,20.99,22.96,31.22,39.26,20.23
2014 Primary Runoff,4.28,4.91,7.40,8.91,13.48,15.10,17.94,22.74,28.41,36.53,18.50
2014 General,14.96,19.51,27.45,31.56,40.42,42.36,49.27,50.43,59.41,63.09,42.66
2016 Presidential Primary,21.58,18.46,26.92,30.23,35.17,39.73,41.42,45.55,50.97,53.87,38.70
2016 Primary,9.26,10.23,13.69,15.18,18.16,20.67,23.94,28.72,31.05,40.75,23.68
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.68,43.60,54.93,62.06,67.32,68.55,69.01,71.64,75.96,75.44,65.24
2018 Primary,5.30,4.74,5.75,8.48,10.52,13.87,17.15,21.64,23.94,32.95,16.61
2018 Primary Runoff,3.73,4.35,4.44,7.08,9.84,13.08,16.39,19.93,24.30,31.67,15.68
2018 General,33.51,35.08,43.81,50.64,57.05,61.14,60.42,63.88,66.99,70.50,55.83
