ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,9.47,9.15,14.76,16.27,25.02,26.34,28.30,35.91,40.74,43.23,27.22
2014 Primary Runoff,1.85,1.23,2.89,3.23,3.98,5.57,9.19,14.62,16.53,23.43,10.34
2014 General,14.23,15.68,22.47,28.31,32.19,36.67,43.74,51.84,60.25,60.23,39.59
2016 Presidential Primary,12.51,10.50,17.82,23.43,25.56,28.51,32.47,38.48,41.80,44.65,29.94
2016 Primary,13.63,10.55,16.19,20.97,25.25,30.08,29.41,36.59,40.37,43.92,29.06
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,40.77,38.80,49.54,57.27,59.95,66.77,64.33,68.71,73.64,72.92,60.93
2018 Primary,4.76,5.93,7.66,10.25,13.35,15.33,20.74,25.15,29.56,36.46,19.67
2018 Primary Runoff,1.50,2.22,3.39,3.76,4.36,6.85,9.23,14.90,17.35,23.76,10.95
2018 General,30.68,34.86,44.37,50.57,54.51,61.69,62.84,66.13,68.74,71.84,56.61
