ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,15.11,13.98,19.43,23.26,28.14,34.25,38.62,46.94,50.92,54.67,36.26
2014 Primary Runoff,2.25,1.74,3.30,4.02,3.68,4.99,4.92,10.73,13.66,17.76,8.42
2014 General,24.34,28.09,36.83,42.93,50.90,59.39,57.17,63.68,70.89,71.24,54.00
2016 Presidential Primary,17.08,18.02,25.30,30.36,33.96,32.72,40.56,44.64,54.12,51.04,37.68
2016 Primary,16.90,14.37,17.52,26.75,23.37,32.02,35.58,42.03,46.24,47.33,33.34
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.08,45.30,57.23,65.44,65.80,73.33,75.41,75.71,82.06,80.80,69.51
2018 Primary,8.42,12.39,16.56,16.63,17.49,28.42,34.40,35.66,42.86,46.83,29.80
2018 Primary Runoff,4.89,8.37,6.71,7.69,8.84,12.36,19.13,21.17,30.03,32.93,18.61
2018 General,41.12,50.00,55.34,61.83,64.51,70.48,75.78,75.93,79.00,81.06,68.12
