ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.97,5.10,7.66,11.83,12.17,20.97,16.43,18.44,24.00,30.91,18.25
2014 Primary Runoff,1.37,1.72,1.91,2.02,3.08,7.62,8.20,8.41,13.06,17.71,8.65
2014 General,12.87,17.47,24.82,29.54,35.01,38.47,41.51,46.62,55.98,55.38,39.72
2016 Presidential Primary,20.63,19.36,27.82,30.07,37.92,39.27,44.04,42.98,51.10,52.49,39.91
2016 Primary,12.87,9.68,17.29,18.89,25.13,26.78,28.41,28.57,35.18,40.94,27.64
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.73,46.59,54.86,61.49,63.66,70.54,69.42,72.24,73.73,73.86,65.78
2018 Primary,6.87,6.43,9.32,13.70,15.89,18.95,21.07,22.65,24.79,33.90,20.15
2018 Primary Runoff,3.87,2.84,5.04,5.88,6.78,9.45,12.72,14.51,18.12,26.83,13.46
2018 General,35.28,38.64,46.71,53.37,54.44,59.87,62.89,67.18,67.48,73.00,58.58
