ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.70,5.00,6.85,14.53,14.72,18.21,20.24,24.87,27.91,33.18,20.04
2014 Primary Runoff,1.75,0.71,0.80,4.85,7.20,9.33,8.11,9.87,12.46,18.31,9.28
2014 General,13.04,23.10,24.19,36.84,42.98,45.24,42.94,54.19,59.81,57.68,43.24
2016 Presidential Primary,15.62,12.30,13.25,25.90,31.44,34.40,30.97,38.31,45.69,44.68,32.31
2016 Primary,13.62,11.11,12.16,23.05,29.39,34.98,37.94,37.88,46.29,54.10,34.73
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.62,48.24,47.71,60.56,60.96,68.17,70.06,71.12,74.27,74.16,64.57
2018 Primary,4.88,6.02,3.07,12.77,11.07,20.22,19.81,20.59,24.93,30.43,18.64
2018 Primary Runoff,2.56,1.67,0.87,5.22,5.26,10.90,10.49,10.36,15.16,21.63,11.23
2018 General,39.23,40.97,43.04,55.46,56.69,68.40,64.56,71.35,72.49,73.02,61.74
