ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.98,4.39,7.57,11.24,14.75,17.52,19.86,22.05,27.99,39.08,18.75
2014 Primary Runoff,3.70,2.76,4.69,6.24,8.32,11.39,15.14,18.84,23.81,35.00,14.50
2014 General,16.73,20.35,30.86,36.14,43.14,50.47,55.54,59.17,64.32,69.97,47.18
2016 Presidential Primary,19.38,19.79,27.54,29.14,32.67,37.20,43.19,46.38,50.43,55.80,37.99
2016 Primary,5.66,4.18,7.11,9.40,11.80,13.99,15.76,17.59,20.95,31.60,15.35
2016 Primary Runoff,0.80,0.25,0.58,0.90,1.54,1.95,2.46,2.41,2.73,4.40,2.07
2016 General,54.74,47.25,63.29,69.62,73.86,76.46,77.22,77.82,78.11,79.24,71.37
2018 Primary,9.48,5.74,10.64,15.58,20.30,23.29,24.78,26.86,29.45,39.29,22.54
2018 Primary Runoff,4.27,2.62,4.05,6.07,7.70,11.35,15.00,20.37,24.40,34.73,15.00
2018 General,37.25,37.51,49.12,56.54,60.87,66.79,69.60,70.89,71.39,73.84,61.12
