ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.43,2.51,4.91,8.54,11.43,14.71,19.24,23.86,30.17,35.50,16.97
2014 Primary Runoff,1.39,0.73,1.43,2.38,3.12,5.41,8.40,12.55,16.39,23.70,8.87
2014 General,18.71,19.35,29.72,40.93,48.55,52.52,58.25,62.00,65.69,64.85,47.42
2016 Presidential Primary,13.58,12.58,17.51,23.90,29.17,33.33,40.35,44.64,49.38,50.56,33.31
2016 Primary,5.64,3.34,6.14,10.67,14.62,18.58,21.48,24.46,27.86,31.78,17.94
2016 Primary Runoff,3.00,1.66,3.30,4.87,8.00,11.54,11.78,13.06,14.91,14.09,9.20
2016 General,46.15,39.31,47.55,57.91,63.08,67.60,71.84,74.51,75.55,72.40,62.54
2018 Primary,6.00,4.42,7.11,11.38,15.11,19.93,23.29,29.70,33.91,39.20,20.80
2018 Primary Runoff,1.62,1.31,1.55,3.69,3.65,6.75,9.32,14.15,17.43,24.44,9.98
2018 General,35.39,35.35,41.84,51.41,57.60,65.44,67.34,71.15,73.45,70.98,57.67
