ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.41,3.08,7.45,11.89,13.89,17.06,20.36,25.33,29.82,36.77,16.06
2014 Primary Runoff,0.93,1.08,2.17,3.36,4.40,5.99,9.23,12.56,16.26,25.11,8.27
2014 General,12.53,11.89,24.43,33.66,37.80,42.80,49.85,53.73,58.93,61.20,35.98
2016 Presidential Primary,17.01,10.80,18.32,24.19,28.00,31.83,36.84,38.01,44.10,46.51,28.52
2016 Primary,6.66,7.04,15.28,21.41,25.58,29.85,30.23,32.19,38.55,43.73,23.85
2016 Primary Runoff,2.35,1.81,4.97,8.15,10.03,12.76,13.90,14.70,19.29,23.57,10.84
2016 General,53.58,31.22,45.30,56.96,62.85,66.10,69.07,70.80,73.26,73.16,58.35
2018 Primary,4.12,4.90,10.12,15.83,17.08,16.76,22.40,25.48,31.87,36.70,17.99
2018 Primary Runoff,1.41,1.56,4.24,5.97,6.96,8.25,11.63,14.26,18.83,25.23,10.03
2018 General,38.37,28.66,43.72,51.58,58.48,61.27,64.10,66.79,71.52,72.54,54.09
