ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.10,4.64,8.40,14.08,14.81,16.74,21.02,24.35,31.62,39.54,21.19
2014 Primary Runoff,3.27,2.30,2.89,5.67,5.10,7.35,11.77,14.19,19.64,28.56,12.79
2014 General,21.19,20.85,32.26,43.57,46.16,50.88,57.52,57.28,68.62,68.91,50.50
2016 Presidential Primary,19.96,16.40,22.73,33.36,35.32,38.19,43.96,47.28,54.37,55.39,40.14
2016 Primary,11.27,7.52,12.96,20.20,21.46,23.95,27.76,30.63,38.46,46.63,27.79
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,53.85,45.33,54.42,66.29,68.54,73.67,74.54,76.67,80.02,77.82,69.28
2018 Primary,7.99,7.27,10.10,15.65,19.88,19.99,24.07,28.40,35.36,41.86,24.49
2018 Primary Runoff,5.06,3.61,5.97,9.59,15.87,15.97,20.78,25.97,29.20,37.02,20.36
2018 General,42.58,41.82,54.91,59.23,68.01,69.80,72.56,74.52,77.77,78.48,66.42
