ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.69,1.03,2.24,3.76,4.22,13.09,16.73,16.96,21.38,30.19,9.10
2014 Primary Runoff,0.21,0.19,0.00,0.99,0.00,1.57,1.57,4.58,7.33,9.70,2.01
2014 General,6.27,6.18,6.81,10.45,13.85,23.35,37.74,38.02,45.81,47.58,19.17
2016 Presidential Primary,7.05,3.42,3.95,5.29,10.45,13.83,29.02,25.21,37.30,36.06,13.75
2016 Primary,10.93,5.86,7.48,10.85,16.17,21.49,35.84,38.91,51.49,52.19,20.51
2016 Primary Runoff,11.79,6.01,6.07,8.44,14.93,20.98,33.67,38.68,48.73,53.44,19.84
2016 General,23.41,16.38,17.51,22.57,27.21,39.15,48.89,56.63,63.85,62.25,32.48
2018 Primary,0.72,0.94,0.41,2.20,3.48,5.96,6.73,9.01,9.38,18.11,4.68
2018 Primary Runoff,2.61,1.25,1.45,4.50,7.51,11.15,13.13,24.34,31.11,36.39,10.64
2018 General,11.81,10.38,11.90,17.12,25.63,32.11,37.11,53.97,61.86,56.85,26.40
