ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.31,4.39,7.46,10.81,13.11,14.58,17.29,19.91,25.09,30.67,16.12
2014 Primary Runoff,1.31,1.01,2.68,4.35,6.22,6.50,8.36,10.53,15.93,21.80,9.24
2014 General,11.02,12.87,21.74,27.68,33.62,37.23,42.91,48.76,56.00,57.65,37.03
2016 Presidential Primary,15.63,14.50,21.78,26.91,31.83,34.96,39.80,42.05,48.02,48.71,34.04
2016 Primary,8.72,5.60,10.01,14.85,18.36,19.64,21.35,23.78,25.65,32.77,19.61
2016 Primary Runoff,2.80,1.47,2.61,4.70,7.03,7.38,8.04,8.83,10.69,15.94,7.95
2016 General,45.11,38.02,50.96,59.27,64.94,67.37,67.47,70.29,73.43,72.90,62.00
2018 Primary,4.74,3.50,6.24,8.55,12.06,13.30,16.29,19.01,20.51,28.25,14.90
2018 Primary Runoff,2.47,1.41,2.94,4.48,7.58,10.53,12.91,16.25,18.29,25.73,12.08
2018 General,34.41,33.40,39.66,50.02,56.54,61.60,63.78,65.97,69.36,70.05,55.80
