ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.52,7.14,7.40,15.19,20.59,17.50,20.61,22.25,30.91,36.12,20.47
2014 Primary Runoff,0.75,1.78,1.94,3.08,4.80,5.62,6.33,6.48,15.34,15.08,7.16
2014 General,8.74,13.00,18.94,26.64,24.54,26.67,33.00,35.62,43.60,45.88,29.74
2016 Presidential Primary,7.20,10.28,17.71,25.83,22.19,27.61,26.77,27.37,29.27,38.33,25.14
2016 Primary,13.83,14.32,24.79,35.05,31.75,39.04,39.65,42.11,43.97,46.13,34.60
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,38.56,38.83,50.00,59.75,61.65,67.65,65.38,66.25,66.58,67.83,59.20
2018 Primary,13.58,10.53,16.71,18.41,19.29,25.69,27.03,26.75,30.06,35.96,24.38
2018 Primary Runoff,1.34,0.95,2.28,3.15,4.53,6.86,8.33,7.33,12.46,15.82,7.72
2018 General,31.93,32.30,41.96,52.22,54.07,62.33,65.87,60.61,63.97,65.02,54.73
