ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.09,7.38,9.95,11.30,16.33,18.00,22.32,27.18,32.21,37.79,21.80
2014 Primary Runoff,2.34,1.97,2.83,4.49,4.69,6.25,11.70,14.11,19.73,28.17,12.69
2014 General,9.87,14.94,17.73,26.25,30.56,31.24,38.90,44.74,54.24,58.06,36.78
2016 Presidential Primary,11.93,13.21,16.76,21.52,24.67,28.33,32.73,36.31,42.35,46.36,30.68
2016 Primary,10.52,8.38,12.81,18.66,23.88,27.95,31.25,32.98,38.13,43.72,27.98
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,40.73,38.85,46.40,54.79,60.28,64.62,66.02,69.97,74.97,73.98,61.44
2018 Primary,4.55,3.28,5.24,9.11,10.83,13.23,16.16,18.70,25.25,32.73,17.05
2018 Primary Runoff,2.39,2.31,2.68,4.14,5.08,6.63,10.47,11.94,17.04,23.71,11.27
2018 General,31.46,30.47,37.63,44.12,50.24,58.20,58.92,62.49,65.96,70.69,54.22
