ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,12.40,15.38,19.23,19.10,24.73,33.33,33.33,33.33,41.89,45.20,32.64
2014 Primary Runoff,0.00,0.98,3.57,1.15,8.42,5.04,1.65,6.00,8.90,14.69,7.40
2014 General,16.13,17.35,16.67,19.28,30.11,54.24,35.94,44.83,54.30,60.74,42.35
2016 Presidential Primary,9.82,11.43,16.13,21.35,17.98,33.04,31.34,37.32,35.86,50.78,33.75
2016 Primary,19.35,15.74,24.47,30.21,32.95,55.26,40.14,47.06,59.09,61.41,45.51
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,40.87,46.55,43.12,44.44,51.55,71.43,68.79,70.14,73.81,77.90,64.87
2018 Primary,8.16,9.71,5.71,13.68,20.73,22.64,38.40,30.30,32.26,42.60,29.07
2018 Primary Runoff,7.45,10.38,11.54,13.98,27.71,34.91,40.94,37.01,40.38,48.73,34.48
2018 General,26.36,30.56,36.11,36.73,48.28,52.73,68.66,62.04,68.99,72.97,57.92
