ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,1.94,2.58,2.51,8.65,9.28,7.98,10.56,14.44,18.89,26.28,12.34
2014 Primary Runoff,1.11,1.16,2.52,5.42,5.92,5.47,8.13,10.47,14.17,22.96,9.76
2014 General,12.59,18.01,21.28,29.56,36.98,36.21,43.76,47.78,58.68,59.44,39.32
2016 Presidential Primary,13.14,16.59,20.52,23.60,30.41,30.63,34.63,39.64,45.17,45.32,32.19
2016 Primary,7.98,10.23,12.33,18.69,22.49,24.21,21.16,24.85,31.34,35.16,22.83
2016 Primary Runoff,4.01,5.83,6.15,7.44,12.44,12.83,11.46,13.63,14.90,17.29,11.59
2016 General,42.72,41.88,48.87,55.31,63.16,65.73,64.11,66.99,73.53,71.88,61.07
2018 Primary,6.27,5.26,8.75,12.68,15.44,16.72,18.24,23.94,27.88,35.55,19.65
2018 Primary Runoff,3.61,3.85,6.12,8.13,11.61,11.76,12.99,16.57,21.73,28.46,14.78
2018 General,33.16,33.81,45.23,50.06,57.11,60.30,61.23,63.86,69.17,71.97,56.73
