ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.25,1.08,5.58,6.85,7.84,13.78,12.50,14.85,16.30,23.02,12.11
2014 Primary Runoff,2.40,0.53,4.17,3.15,3.01,3.15,8.30,8.33,6.59,16.95,6.97
2014 General,30.04,27.04,35.45,46.85,48.52,50.52,57.47,56.34,63.24,65.74,50.25
2016 Presidential Primary,24.11,14.62,25.74,32.09,30.83,39.39,36.51,44.00,47.13,47.80,35.92
2016 Primary,25.76,19.07,28.22,32.88,39.45,40.67,40.48,48.28,52.84,57.94,40.90
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,58.25,47.95,60.27,70.93,67.86,77.35,68.03,74.36,78.33,78.08,69.43
2018 Primary,10.27,11.28,10.24,15.21,18.40,25.18,30.86,32.27,39.89,39.41,25.15
2018 Primary Runoff,5.28,3.59,4.37,5.12,7.63,13.04,15.06,18.39,18.29,25.95,13.51
2018 General,48.29,50.48,60.63,66.06,71.98,75.19,76.92,76.50,79.67,79.56,69.58
