ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.77,4.83,9.92,11.39,15.06,17.93,22.68,27.42,36.67,41.20,21.56
2014 Primary Runoff,2.78,2.07,3.78,5.14,7.37,11.03,14.40,20.46,24.36,32.50,14.65
2014 General,22.20,21.05,32.10,39.94,48.07,53.33,56.08,61.95,68.71,69.02,50.07
2016 Presidential Primary,21.91,16.86,27.17,34.33,42.45,43.72,49.23,50.09,58.33,59.44,42.96
2016 Primary,12.16,11.01,18.03,22.50,27.84,28.41,34.16,35.78,39.90,47.92,30.27
2016 Primary Runoff,3.85,2.74,5.17,6.46,10.77,8.11,13.82,15.98,19.15,25.70,12.93
2016 General,56.37,49.03,63.94,67.89,74.70,76.57,78.48,76.63,79.48,77.96,71.14
2018 Primary,6.20,6.34,9.25,11.63,17.60,18.68,24.62,25.87,34.92,43.08,22.32
2018 Primary Runoff,4.32,4.08,5.64,7.01,10.06,14.92,19.35,22.24,29.62,37.29,17.93
2018 General,41.19,45.11,56.53,63.05,69.77,72.26,74.50,75.59,78.24,79.26,66.92
