ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,8.60,9.80,13.47,18.67,23.54,23.31,30.28,37.31,40.50,46.04,27.88
2014 Primary Runoff,2.78,2.37,3.65,5.20,6.49,6.23,11.98,16.41,19.39,25.58,12.15
2014 General,13.27,17.38,26.01,33.16,38.18,43.24,46.26,55.92,61.40,61.78,42.49
2016 Presidential Primary,14.55,15.21,19.66,27.53,32.95,33.79,37.63,45.04,48.82,49.61,34.95
2016 Primary,20.92,18.68,28.40,36.09,42.84,44.06,52.97,54.58,58.52,58.91,43.99
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,40.29,38.45,52.46,56.68,63.12,64.97,70.36,73.33,76.21,77.15,63.38
2018 Primary,6.36,6.26,13.50,12.19,16.79,20.96,19.98,28.08,32.63,38.43,22.32
2018 Primary Runoff,2.94,2.83,8.05,7.64,9.75,10.13,11.33,18.54,23.22,28.05,14.66
2018 General,35.25,36.94,51.03,52.43,57.97,60.65,64.95,71.16,73.99,74.83,60.14
