ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.79,4.26,5.49,8.46,10.38,11.09,16.55,17.34,25.48,26.58,15.72
2014 Primary Runoff,2.08,1.64,1.15,2.72,4.82,2.49,3.62,6.60,8.56,13.37,6.25
2014 General,21.98,22.01,27.86,37.82,41.52,45.11,50.26,55.84,61.88,63.16,47.04
2016 Presidential Primary,13.49,14.17,18.31,21.60,22.74,26.24,30.97,30.91,40.17,40.66,29.10
2016 Primary,8.49,7.16,10.74,12.87,15.96,17.56,22.18,24.43,30.71,33.36,21.57
2016 Primary Runoff,7.13,3.68,5.91,6.42,9.01,12.28,14.21,15.76,19.54,20.54,13.46
2016 General,47.01,43.23,47.38,56.06,56.96,64.48,65.76,71.28,71.54,72.77,62.63
2018 Primary,7.74,7.55,7.42,8.67,11.68,14.89,16.60,19.29,24.32,28.33,17.62
2018 Primary Runoff,8.77,5.84,7.57,9.24,12.38,17.73,14.17,16.57,21.69,26.72,16.76
2018 General,39.42,41.12,46.44,51.36,57.95,62.97,65.12,68.90,75.21,73.64,61.61
