ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,8.22,9.13,13.45,20.11,24.59,29.16,30.98,38.46,42.25,49.96,29.43
2014 Primary Runoff,3.12,3.28,4.19,8.14,11.03,13.16,16.27,18.98,27.88,35.79,16.92
2014 General,11.67,13.26,23.78,27.45,34.12,40.85,43.96,50.63,57.83,61.33,39.51
2016 Presidential Primary,13.60,11.64,18.18,21.17,28.06,32.96,37.29,42.67,48.56,50.87,33.38
2016 Primary,10.96,9.63,15.72,18.98,26.32,31.19,33.76,37.80,44.56,48.37,30.58
2016 Primary Runoff,3.76,3.83,5.38,7.81,10.43,13.99,14.31,21.09,29.00,37.19,17.90
2016 General,40.91,36.05,48.67,55.92,60.42,64.08,68.88,70.62,77.23,75.70,61.78
2018 Primary,6.04,4.69,8.82,11.86,15.38,21.47,21.79,27.31,33.14,40.23,22.00
2018 Primary Runoff,4.00,3.94,6.02,8.04,9.63,12.95,15.06,17.92,22.69,30.59,15.62
2018 General,33.43,34.91,46.25,48.88,57.60,62.03,63.64,67.94,72.84,74.90,58.50
