ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.54,3.08,4.38,8.89,11.74,13.97,16.57,23.80,31.80,36.64,17.78
2014 Primary Runoff,1.54,1.65,1.57,4.38,4.79,7.71,9.61,14.20,21.33,29.91,12.02
2014 General,16.63,19.41,25.77,34.69,42.48,42.73,50.36,53.69,62.44,63.61,43.66
2016 Presidential Primary,13.64,14.46,16.67,23.46,27.89,29.90,35.94,40.04,45.97,51.75,32.91
2016 Primary,8.05,7.38,9.02,15.81,20.72,23.66,26.45,31.64,41.51,49.08,26.74
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.08,42.92,53.21,58.56,64.01,68.51,67.60,70.28,75.55,76.37,63.77
2018 Primary,3.75,2.39,4.81,7.75,13.57,11.98,16.03,18.74,24.29,36.73,17.25
2018 Primary Runoff,2.22,1.46,2.41,3.62,6.97,7.74,11.41,12.47,17.49,30.10,12.62
2018 General,32.56,37.92,46.77,51.06,60.80,66.94,64.60,68.50,73.30,74.88,59.90
