ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.17,2.58,4.38,6.70,8.94,11.65,14.85,19.34,26.92,34.22,13.47
2014 Primary Runoff,1.55,1.13,1.89,2.86,4.20,5.83,8.59,12.13,17.17,24.12,8.25
2014 General,15.70,20.52,28.07,35.51,40.74,45.44,49.27,54.03,60.40,61.19,40.55
2016 Presidential Primary,14.69,16.51,19.73,23.39,26.75,30.49,34.24,38.17,43.45,46.77,29.52
2016 Primary,2.58,2.00,3.52,5.80,7.56,8.86,10.04,12.35,17.25,23.97,9.71
2016 Primary Runoff,0.91,0.79,1.49,2.40,2.97,3.40,4.06,5.36,8.27,11.71,4.35
2016 General,42.44,43.70,47.88,53.76,59.41,64.01,65.03,66.06,68.65,67.40,57.07
2018 Primary,5.60,5.98,9.03,11.84,14.52,16.91,18.86,21.77,27.29,35.52,16.74
2018 Primary Runoff,2.26,1.67,2.51,3.55,5.12,7.20,9.49,12.51,15.88,22.27,8.43
2018 General,34.33,39.02,44.82,50.57,56.10,60.95,62.74,63.24,65.86,66.83,53.41
