ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,9.79,9.33,16.04,16.64,20.16,22.87,27.23,31.88,36.68,42.08,26.24
2014 Primary Runoff,1.61,0.91,2.43,3.39,5.34,6.48,9.03,11.50,16.53,23.46,10.52
2014 General,16.98,17.42,29.68,37.29,41.07,46.45,50.03,54.85,60.99,64.02,45.46
2016 Presidential Primary,15.60,12.14,19.05,23.53,28.90,31.68,36.45,41.26,47.17,49.50,33.96
2016 Primary,9.67,7.39,14.34,22.06,22.15,25.43,29.75,33.68,39.99,44.38,28.28
2016 Primary Runoff,5.20,3.98,7.37,14.19,12.33,13.70,17.88,20.54,24.35,31.69,18.00
2016 General,49.08,42.47,52.90,61.79,64.41,69.58,71.21,73.78,76.55,75.31,65.78
2018 Primary,7.03,8.28,10.97,14.86,19.22,22.09,24.71,30.04,33.65,43.34,25.13
2018 Primary Runoff,2.40,2.52,3.35,5.35,8.80,10.31,11.94,17.93,19.67,29.80,14.45
2018 General,36.06,40.18,46.92,55.98,61.04,67.70,70.88,75.73,74.78,75.76,62.83
