ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.62,2.44,4.07,5.43,8.08,10.76,10.79,18.17,28.06,36.81,18.64
2014 Primary Runoff,2.82,0.96,3.94,4.06,4.27,7.41,8.85,13.82,25.65,33.29,16.09
2014 General,15.54,16.24,28.11,35.43,35.71,42.35,45.98,55.29,67.99,71.59,49.30
2016 Presidential Primary,14.61,14.19,20.13,22.84,29.16,32.78,32.87,44.12,50.15,56.97,38.60
2016 Primary,10.62,11.22,14.99,21.95,25.62,27.01,26.52,32.74,41.09,47.11,31.50
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.53,43.59,51.19,55.43,62.93,68.79,70.66,76.01,80.22,82.06,68.76
2018 Primary,5.99,10.60,14.11,14.09,16.39,19.56,21.92,25.17,31.00,41.25,25.76
2018 Primary Runoff,3.13,2.59,4.01,5.28,9.65,12.93,14.22,17.56,24.60,35.45,19.15
2018 General,33.65,37.49,43.22,54.66,59.53,65.37,68.18,72.32,77.45,79.64,65.11
