ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.61,4.92,7.15,10.98,13.73,14.97,18.16,20.83,24.90,30.46,16.47
2014 Primary Runoff,1.74,1.99,2.30,4.59,5.21,5.70,8.51,10.15,14.32,18.16,8.22
2014 General,10.68,13.58,18.24,24.43,28.18,32.69,37.04,41.74,48.74,49.49,32.11
2016 Presidential Primary,16.86,16.87,22.17,26.52,28.70,33.07,35.89,41.09,43.63,42.36,31.93
2016 Primary,13.15,12.45,18.89,25.51,26.09,30.09,33.33,36.96,40.23,43.84,29.65
2016 Primary Runoff,2.70,2.31,4.36,9.07,9.16,9.55,10.01,13.05,18.09,23.06,11.45
2016 General,46.72,42.71,52.21,58.07,60.17,63.22,67.95,66.99,71.72,67.66,60.46
2018 Primary,4.33,4.06,6.17,7.35,9.84,10.58,12.94,15.81,19.51,23.06,12.63
2018 Primary Runoff,2.45,1.69,3.27,4.02,6.03,6.78,7.85,11.15,13.11,18.06,8.65
2018 General,35.90,33.82,41.56,47.36,53.80,57.21,61.28,63.01,66.69,64.65,53.73
