ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.95,4.17,7.27,10.22,15.90,18.66,21.02,26.55,34.79,39.36,20.76
2014 Primary Runoff,0.93,0.54,1.10,1.08,2.76,3.98,7.67,8.53,15.47,22.61,8.46
2014 General,14.20,16.62,27.13,32.83,38.58,45.39,48.67,54.66,62.49,63.97,42.89
2016 Presidential Primary,10.81,9.74,12.93,16.41,20.15,27.05,30.97,32.34,40.70,44.05,27.03
2016 Primary,8.43,6.97,11.37,14.99,20.63,22.81,28.46,34.14,37.20,44.21,25.69
2016 Primary Runoff,4.39,3.63,5.77,8.41,12.99,12.08,12.89,16.83,18.93,26.72,14.18
2016 General,38.64,36.15,44.51,49.46,57.17,62.12,64.92,70.88,73.66,75.10,59.42
2018 Primary,4.99,4.62,7.30,10.27,13.63,17.03,18.62,23.01,29.26,32.87,18.48
2018 Primary Runoff,1.33,1.81,2.58,2.66,5.21,7.71,8.20,11.39,15.85,24.17,10.48
2018 General,29.86,31.75,39.76,49.22,53.07,61.97,62.28,69.31,71.53,73.75,56.51
