ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.72,5.93,8.79,11.14,14.35,13.68,22.22,21.29,24.94,32.18,18.84
2014 Primary Runoff,6.16,5.94,4.73,8.80,8.97,10.00,17.53,14.85,17.62,23.24,13.70
2014 General,18.13,23.08,29.29,36.77,43.55,47.48,52.05,53.28,60.65,64.47,46.37
2016 Presidential Primary,19.21,19.62,21.56,29.38,30.15,37.07,44.37,43.12,46.01,49.54,36.76
2016 Primary,3.45,3.03,4.04,4.93,6.16,6.98,9.09,12.53,13.70,17.69,9.81
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,49.23,41.30,58.41,60.37,65.11,72.08,72.48,72.35,78.24,75.79,66.46
2018 Primary,5.06,4.43,7.31,7.64,9.41,12.86,17.44,20.86,21.88,28.37,16.17
2018 Primary Runoff,4.57,4.54,5.67,4.82,6.25,10.63,13.24,16.77,15.67,24.71,13.23
2018 General,43.24,38.62,50.52,58.76,63.02,67.47,68.99,71.25,72.37,75.60,63.32
