ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,13.11,13.07,19.73,20.99,28.24,31.54,37.08,42.49,47.02,55.21,35.89
2014 Primary Runoff,3.91,2.51,3.61,2.97,5.39,8.15,13.13,19.00,21.60,33.20,15.85
2014 General,13.24,19.58,22.09,28.73,36.25,40.44,47.63,59.55,60.28,65.76,45.25
2016 Presidential Primary,13.66,13.27,16.26,18.17,22.96,31.10,31.95,38.40,47.31,52.29,34.02
2016 Primary,12.78,12.00,16.19,16.56,21.41,28.19,30.88,33.70,39.81,44.51,30.03
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,46.38,45.86,51.08,53.04,59.50,62.70,68.50,72.86,75.19,76.51,64.84
2018 Primary,5.94,7.28,9.97,8.97,14.46,18.80,24.01,26.19,32.95,38.25,23.37
2018 Primary Runoff,2.04,2.11,3.99,3.99,4.95,8.45,11.20,14.27,18.79,24.57,13.03
2018 General,32.29,35.30,40.22,43.99,48.09,56.00,60.08,63.76,70.10,72.09,57.06
