ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.62,5.38,6.85,17.42,11.19,16.94,16.18,20.93,35.96,32.77,19.76
2014 Primary Runoff,2.49,1.84,2.24,5.77,5.99,5.07,7.43,11.72,16.04,20.19,10.33
2014 General,19.24,23.60,29.17,42.65,48.96,51.67,58.88,62.00,70.29,69.37,52.16
2016 Presidential Primary,12.95,16.16,22.88,21.02,30.80,31.71,33.58,36.32,45.01,45.12,32.83
2016 Primary,21.45,20.40,28.62,35.91,43.88,45.21,52.94,58.31,63.64,61.68,47.13
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.02
2016 General,43.02,45.41,50.77,55.52,64.58,67.45,70.36,73.42,79.56,75.84,65.01
2018 Primary,10.51,11.36,14.00,25.31,23.88,25.34,31.20,36.45,43.65,45.53,30.84
2018 Primary Runoff,5.98,8.99,9.83,16.56,19.17,19.79,23.05,26.39,36.63,42.91,25.66
2018 General,37.86,43.27,47.84,55.66,59.71,65.75,66.96,73.58,77.19,79.01,64.54
