ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,15.98,17.35,24.27,21.65,28.68,34.51,40.56,46.11,40.30,42.54,33.57
2014 Primary Runoff,0.61,2.06,2.00,3.06,5.38,2.86,7.48,9.88,10.37,16.43,7.76
2014 General,19.14,22.12,30.30,37.50,52.27,51.45,60.67,63.06,66.90,67.41,51.17
2016 Presidential Primary,11.26,19.13,29.70,25.00,34.17,36.15,38.46,44.94,46.84,47.62,36.13
2016 Primary,18.52,18.52,22.22,28.18,32.46,44.70,45.16,60.39,45.18,57.59,41.53
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,46.99,53.85,60.61,61.82,72.41,77.05,73.72,81.29,81.88,78.52,70.61
2018 Primary,2.48,6.19,10.11,6.93,13.91,18.85,16.35,30.77,28.85,29.40,19.04
2018 Primary Runoff,1.89,3.48,4.60,6.86,6.19,14.05,8.39,23.88,14.74,21.91,12.80
2018 General,43.23,41.80,61.80,61.76,63.30,72.58,77.36,87.31,84.28,81.23,70.47
