ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.05,4.64,10.25,11.80,12.06,20.87,20.16,21.62,29.05,37.50,20.73
2014 Primary Runoff,1.51,1.62,0.93,3.22,2.64,6.29,6.53,9.00,13.95,22.57,9.46
2014 General,19.43,19.74,26.45,38.35,34.20,43.02,44.39,53.98,61.76,58.99,43.18
2016 Presidential Primary,13.97,13.32,23.99,26.89,25.44,29.65,36.41,37.05,41.87,46.02,32.29
2016 Primary,18.44,16.47,28.40,34.64,31.96,39.00,41.53,45.15,53.42,51.07,38.53
2016 Primary Runoff,11.95,10.82,17.98,24.85,22.22,27.75,31.83,32.52,44.42,42.75,29.52
2016 General,43.06,42.76,56.67,63.14,62.31,69.46,65.98,69.93,82.04,73.71,64.53
2018 Primary,10.20,8.03,10.97,13.62,12.31,20.51,24.93,26.33,31.73,39.41,23.51
2018 Primary Runoff,5.66,3.60,4.18,6.96,5.86,13.35,18.10,19.07,22.34,29.70,16.18
2018 General,38.72,38.71,54.32,57.88,62.57,65.72,64.15,68.77,76.17,74.45,62.54
