ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.34,5.60,9.48,13.48,16.58,20.44,23.74,27.43,30.80,41.18,22.98
2014 Primary Runoff,5.80,4.77,7.92,11.73,13.21,18.25,22.61,27.07,30.17,39.76,21.63
2014 General,17.01,18.13,25.19,33.63,37.31,44.65,51.73,57.57,63.30,68.49,46.10
2016 Presidential Primary,25.61,16.88,24.14,28.31,33.10,39.64,43.34,48.71,53.41,55.82,40.26
2016 Primary,7.58,6.48,10.44,16.25,17.98,21.96,24.10,26.70,31.83,38.90,23.35
2016 Primary Runoff,3.33,2.48,6.11,8.29,7.24,10.54,12.01,15.06,17.53,21.96,12.45
2016 General,56.77,44.72,51.26,59.01,63.17,68.06,71.89,76.40,79.34,76.74,66.76
2018 Primary,4.51,4.67,5.39,7.34,11.24,11.96,17.35,19.17,23.72,32.60,16.61
2018 Primary Runoff,3.20,3.15,5.22,7.17,11.05,13.24,18.72,20.63,23.42,32.57,16.71
2018 General,33.50,31.45,39.20,44.53,51.89,57.21,62.05,64.13,70.49,71.95,55.16
