ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.03,2.97,4.94,7.20,9.96,11.70,14.02,17.15,22.94,30.09,12.42
2014 Primary Runoff,1.42,1.44,2.09,2.86,4.29,6.44,9.37,12.00,16.42,24.11,8.08
2014 General,16.32,19.38,29.60,36.36,43.16,47.87,52.20,54.43,58.38,63.46,42.38
2016 Presidential Primary,17.12,16.49,23.72,26.97,31.08,35.53,39.19,42.48,46.10,49.78,33.23
2016 Primary,3.46,2.90,4.69,6.37,7.51,9.34,11.12,14.36,18.01,25.55,10.67
2016 Primary Runoff,1.88,1.63,2.70,3.78,4.06,5.60,6.43,9.05,11.71,16.74,6.61
2016 General,50.17,47.43,58.63,64.80,69.42,72.07,74.20,74.81,76.08,75.14,66.44
2018 Primary,4.59,4.08,6.54,8.96,11.82,13.85,16.91,19.90,24.76,31.08,14.52
2018 Primary Runoff,2.97,2.69,4.59,6.18,8.78,10.80,14.44,18.90,22.31,28.73,12.37
2018 General,33.99,36.78,45.84,51.09,56.52,61.94,66.31,68.64,70.45,69.62,55.86
