ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.17,3.07,6.36,7.21,7.06,12.85,16.04,20.72,29.37,35.74,17.19
2014 Primary Runoff,2.33,1.74,3.27,5.21,4.87,8.48,10.69,13.79,20.17,31.42,13.16
2014 General,20.81,20.15,32.88,36.66,40.87,46.68,50.88,58.62,67.31,65.48,47.56
2016 Presidential Primary,22.36,22.62,27.45,32.05,35.61,44.34,43.06,51.72,55.27,56.75,42.43
2016 Primary,17.83,13.71,18.93,21.43,27.92,33.18,34.03,37.12,37.52,51.69,33.11
2016 Primary Runoff,13.56,9.91,14.24,18.91,24.75,24.88,27.56,26.76,25.70,37.96,25.07
2016 General,53.98,50.21,61.51,66.95,71.93,75.33,79.03,81.32,81.36,81.36,72.41
2018 Primary,6.51,8.24,8.35,10.81,15.45,17.58,20.18,24.08,29.75,39.43,21.38
2018 Primary Runoff,5.18,5.37,5.77,9.02,11.30,14.19,17.19,22.12,24.54,36.06,18.46
2018 General,40.85,46.12,51.28,60.11,63.38,68.17,70.59,73.63,80.60,79.21,65.88
