ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.28,2.83,5.05,6.26,7.80,12.99,11.84,17.19,20.77,29.71,15.92
2014 Primary Runoff,1.52,0.68,1.98,1.97,1.65,4.02,4.59,6.93,8.80,14.53,6.93
2014 General,19.20,18.50,29.13,35.78,42.54,50.64,53.06,56.65,62.16,65.43,48.93
2016 Presidential Primary,15.31,15.58,19.79,23.31,26.67,33.65,34.69,42.39,46.25,49.45,35.59
2016 Primary,10.88,5.98,9.44,11.43,14.88,19.88,23.86,25.96,30.56,37.01,23.53
2016 Primary Runoff,1.90,1.08,0.84,1.34,1.82,2.64,3.67,5.12,6.84,10.07,5.13
2016 General,50.13,41.39,49.55,59.90,62.90,68.72,70.20,73.69,77.49,75.17,66.28
2018 Primary,4.18,3.31,4.12,7.60,8.25,9.25,14.15,16.94,21.01,26.38,15.34
2018 Primary Runoff,3.38,2.52,2.25,5.55,5.48,6.48,9.66,13.00,15.24,18.95,11.09
2018 General,34.25,35.16,42.25,54.79,57.95,62.62,70.83,71.42,73.02,72.88,61.72
