ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.11,3.20,4.65,6.72,9.74,13.78,18.37,22.45,29.78,35.49,16.03
2014 Primary Runoff,1.44,1.13,1.41,2.29,3.39,5.17,8.32,11.98,17.06,25.11,8.81
2014 General,17.90,19.24,25.90,33.68,40.44,47.22,54.61,59.21,67.61,67.47,44.69
2016 Presidential Primary,19.44,17.18,22.21,26.46,30.75,34.80,41.12,44.79,51.21,52.76,35.41
2016 Primary,4.87,3.19,5.00,7.31,9.14,12.87,17.46,22.37,27.94,34.82,15.95
2016 Primary Runoff,1.76,0.97,1.36,1.61,3.54,5.05,6.94,8.86,12.51,17.33,6.85
2016 General,51.39,44.29,51.55,57.38,63.90,67.67,71.93,73.77,77.84,76.28,64.31
2018 Primary,6.38,5.17,7.63,11.25,14.73,17.87,22.82,28.30,33.48,40.15,20.18
2018 Primary Runoff,4.21,3.33,5.10,7.62,10.23,13.27,18.46,23.61,29.61,36.71,16.76
2018 General,37.11,36.43,43.16,50.10,58.03,63.34,67.75,72.45,74.63,76.10,58.70
