ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,16.09,13.57,16.24,24.20,28.80,32.44,32.75,34.04,45.22,49.40,32.46
2014 Primary Runoff,2.43,2.06,3.47,5.90,6.25,11.61,10.34,13.90,19.82,27.48,12.99
2014 General,18.83,20.94,28.37,35.24,38.92,45.02,50.30,54.18,63.86,65.22,45.90
2016 Presidential Primary,16.07,13.82,24.03,27.94,30.96,36.85,35.43,40.67,50.00,49.11,35.31
2016 Primary,23.06,18.64,27.49,33.43,36.03,40.61,44.93,46.11,56.88,59.68,42.27
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.42,45.69,61.29,60.41,65.74,65.97,71.40,74.67,78.67,77.61,67.32
2018 Primary,12.86,13.89,19.17,22.08,26.47,28.29,33.63,38.04,40.72,49.43,31.99
2018 Primary Runoff,7.08,7.30,11.00,16.89,16.26,17.52,22.86,24.75,29.05,39.67,22.74
2018 General,43.07,44.07,51.64,59.28,64.27,66.60,71.55,69.86,75.92,77.29,64.67
