ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.85,2.54,3.76,6.00,7.47,9.86,13.66,18.57,23.58,33.13,13.27
2014 Primary Runoff,1.86,1.23,2.09,3.86,5.29,6.87,9.82,14.07,18.49,27.94,10.25
2014 General,14.91,16.91,25.01,32.25,37.78,45.12,52.82,58.37,62.04,66.30,42.30
2016 Presidential Primary,13.11,11.66,15.77,20.86,23.52,29.57,35.43,39.93,43.96,47.83,29.39
2016 Primary,2.32,1.54,2.10,3.51,4.80,6.48,8.90,12.27,16.15,23.53,9.21
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.79,38.85,47.32,55.69,60.01,64.38,70.15,72.98,74.42,74.15,60.71
2018 Primary,4.24,3.12,5.10,7.39,10.05,12.09,15.89,20.44,25.03,31.14,14.67
2018 Primary Runoff,2.57,1.62,2.30,3.50,5.74,7.24,10.61,14.83,18.94,26.21,10.65
2018 General,34.61,34.72,44.62,51.43,58.28,62.56,67.16,70.87,74.10,74.04,57.78
