ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.37,3.21,5.61,8.29,12.17,14.75,19.06,23.48,31.83,39.99,17.69
2014 Primary Runoff,2.72,2.30,4.09,5.57,8.61,11.45,15.46,20.17,27.38,36.65,15.11
2014 General,14.16,16.23,23.14,30.57,37.38,42.62,48.32,54.25,61.90,67.11,40.46
2016 Presidential Primary,14.05,14.66,18.02,22.43,28.28,31.97,36.86,41.87,48.51,54.08,32.37
2016 Primary,2.70,2.18,3.61,5.54,8.14,11.04,14.11,17.61,22.83,28.56,12.77
2016 Primary Runoff,0.18,0.08,0.12,0.22,0.29,0.56,0.72,1.14,1.43,1.95,0.77
2016 General,38.92,36.94,43.13,50.36,56.75,61.61,65.16,69.27,73.94,75.09,57.10
2018 Primary,3.74,4.41,6.84,9.38,12.17,14.78,16.94,21.12,26.03,32.83,15.90
2018 Primary Runoff,1.52,1.21,2.39,3.83,5.15,7.87,9.67,12.44,16.51,24.98,9.82
2018 General,28.41,29.77,36.17,43.09,49.06,55.36,58.53,62.23,67.80,71.38,50.62
