ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,14.86,13.35,20.65,28.57,28.82,28.37,31.60,33.40,43.91,44.29,30.64
2014 Primary Runoff,0.98,1.25,1.72,2.66,4.64,4.85,4.88,7.08,10.80,14.67,6.61
2014 General,24.00,22.74,32.31,38.89,40.83,49.63,50.39,51.84,63.04,63.21,46.34
2016 Presidential Primary,13.65,16.63,20.65,27.30,23.58,28.50,33.20,33.46,41.87,41.78,30.11
2016 Primary,15.29,13.85,19.47,23.77,26.20,26.45,33.33,30.86,40.72,40.73,29.06
2016 Primary Runoff,5.65,4.38,4.75,10.64,13.03,12.79,9.94,10.36,17.42,19.13,11.84
2016 General,39.64,38.39,49.63,53.89,59.34,59.95,66.22,63.29,69.98,72.29,59.30
2018 Primary,7.02,6.48,7.81,11.04,20.71,18.38,18.24,22.54,26.20,29.74,18.77
2018 Primary Runoff,1.97,1.65,2.07,3.99,7.99,6.67,7.49,9.35,13.80,18.21,8.99
2018 General,38.78,37.27,45.36,50.15,59.88,61.22,63.89,67.53,74.78,73.23,59.75
