ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,8.79,8.85,14.81,19.83,22.48,27.55,27.93,31.39,38.97,47.24,28.06
2014 Primary Runoff,3.33,3.00,5.48,5.54,6.85,8.55,10.67,16.13,23.07,31.49,14.39
2014 General,12.18,12.27,23.98,29.74,34.66,38.18,41.23,43.10,52.30,58.94,38.31
2016 Presidential Primary,17.98,15.35,22.81,24.15,29.22,34.11,36.86,39.76,43.68,49.42,34.30
2016 Primary,12.93,10.15,15.26,23.89,28.80,29.00,29.81,30.37,33.87,40.74,28.02
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,47.00,45.43,51.64,62.46,63.70,71.13,69.16,70.18,74.83,76.14,65.24
2018 Primary,8.12,9.02,11.31,16.65,23.84,23.76,26.46,29.29,33.91,41.52,25.47
2018 Primary Runoff,3.57,4.80,4.92,5.98,8.50,8.80,12.21,14.51,19.76,26.22,13.42
2018 General,39.19,36.74,44.65,56.40,58.60,61.66,63.77,63.81,67.23,70.78,58.63
