ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.34,5.43,3.68,10.82,11.97,11.68,12.94,16.71,23.61,32.08,20.01
2014 Primary Runoff,2.31,3.18,1.92,4.83,8.87,11.51,8.62,11.40,15.25,25.86,15.28
2014 General,13.07,20.10,24.93,29.61,34.96,40.08,47.53,52.17,61.88,69.38,50.73
2016 Presidential Primary,20.12,17.84,19.44,25.88,29.35,31.30,41.25,44.37,49.82,51.28,40.45
2016 Primary,10.90,16.82,18.60,23.87,32.38,36.96,36.61,33.42,41.23,45.02,35.34
2016 Primary Runoff,3.85,3.47,4.50,5.14,10.99,12.20,11.83,9.88,13.97,20.68,13.78
2016 General,56.59,50.54,55.10,59.31,65.94,72.00,74.65,77.71,85.02,81.81,73.63
2018 Primary,3.61,4.01,6.44,9.39,12.20,10.47,16.18,19.01,26.97,30.51,20.52
2018 Primary Runoff,1.79,2.12,3.69,4.15,7.05,8.11,11.89,16.37,17.13,25.75,16.15
2018 General,32.08,30.59,44.05,49.39,51.88,56.07,63.94,69.14,75.08,74.15,62.85
