ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,9.20,8.18,11.21,14.41,17.28,19.55,24.26,25.49,34.55,34.38,20.90
2014 Primary Runoff,1.24,1.24,1.74,1.95,2.46,4.99,6.40,8.54,11.90,15.56,6.47
2014 General,14.97,15.04,24.72,31.88,37.18,39.09,44.37,49.62,57.18,56.36,38.32
2016 Presidential Primary,12.26,10.44,17.76,21.83,22.18,26.11,29.42,32.88,39.75,39.10,26.37
2016 Primary,10.39,8.18,14.61,19.77,22.21,24.91,27.79,31.34,36.71,37.60,24.59
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,42.50,38.58,50.90,56.96,61.24,64.08,65.82,68.97,72.75,71.44,60.12
2018 Primary,4.32,4.72,6.62,8.46,8.92,13.51,17.15,20.18,21.67,27.27,14.59
2018 Primary Runoff,2.11,1.65,2.19,5.06,5.87,7.88,9.39,12.67,13.70,19.28,9.12
2018 General,29.60,31.92,41.19,50.49,53.17,57.91,60.39,66.04,67.83,69.54,53.63
